
price,b,s,n,t,ratio,__meta__.totalNum,__meta__.totalVolume,__meta__.avePrice,__meta__.buyVolume,__meta__.sellVolume,__meta__.nVolume,__meta__.preClose,__meta__.maxT,__meta__.tradeTimeTs,__meta__.hasNbbo,__meta__.hasReal,__meta__.dealView
2.267,0,0,19698,19698,0.0047,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.292,1509,0,17877,19386,0.0046,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.299,0,0,17336,17336,0.0041,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.298,0,0,17479,17479,0.0041,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.268,300,300,15701,16301,0.0039,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.273,1000,0,15118,16118,0.0038,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.274,900,1,15256,16157,0.0038,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.278,0,400,14660,15060,0.0036,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.257,0,0,14701,14701,0.0035,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.279,0,906,12754,13660,0.0032,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.291,1104,0,11949,13053,0.0031,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.264,600,0,11858,12458,0.0029,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.262,300,1400,7870,9570,0.0023,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.271,0,0,8226,8226,0.0019,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.258,0,72,8141,8213,0.0019,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.261,0,0,7745,7745,0.0018,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.301,1,0,7466,7467,0.0018,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.31,5121,0,1344,6465,0.0015,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.302,5,0,6362,6367,0.0015,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.256,0,0,5560,5560,0.0013,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.259,0,0,4169,4169,0.001,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.308,263,0,3525,3788,0.0009,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.269,0,400,3502,3902,0.0009,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
